keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
artificial intelligence  (n.),人工智慧,"Artificial intelligence, also called AI, is an extremely important modern technology.",人工智慧又稱為AI，它是非常重要的現代科技。,It's valuable for the students to learn about artificial intelligence because this technology will have a huge impact on all our lives.,學習人工智慧對學生而已是很寶貴的經驗，因為這項科技對於我們的生活將有巨大的影響。,彰化縣花壇鄉花壇國中,https://www.youtube.com/watch?v=L0UST_jZODk
art (n.),藝術,The students get very creative and work together in art class.,在課堂上同學們發揮創意，一起創作藝術作品。,"After measuring and painting, the students produced many pieces of art.",在測量與上顏色後，同學們產出很多藝術作品。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=42QapqeHgj4
crossword puzzle (n.),填字遊戲,"After searching for the answer, the students are filling in the crossword puzzle in history class.",尋找答案後，學生們正在填寫歷史課上的填字遊戲。,"By looking at the clues, the students are able to do the crossword puzzle.",藉由觀察線索，學生們可以做填字遊戲。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=5_Cbuou7eKI
dodgeball (n.),躲避球,The students throw balls at each other during the dodgeball game.,在躲避球賽中，同學們用球互丟。,The students get ready to play dodgeball by putting on pads.,同學們穿上護膝準備打躲避球。,彰化縣和美鎮和美國小,https://www.youtube.com/watch?v=oB6uFEymggc
water bottle (n.),水壺,Using water bottles is a good way to preserve the environment.,使用水壺是保護環境的好方法。,Students fill up their water bottles in between classes.,學生在下課期間將水壺裝滿。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=tueIm3v9XBQ
long Jump (n.),跳遠,"One by one, the students are training for the long jump event.",同學們一個接一個訓練跳遠。,The students are making sure to jump from the right position for the long jump event.,同學們確認跳遠時起跳的正確位置。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=xutOrgofds8
baking (v.),烘焙,The students are mixing the ingredients together to get ready to make cookies in baking class.,在上烘焙課時，同學們將原料混合後，準備好做餅乾。,"Once the ingredients are mixed together, the students put the cookies in the oven for baking.",原料混合後，同學們將餅乾放入烤箱烘焙。,彰化縣彰化市東芳國小,https://www.youtube.com/watch?v=-i1rZ5FAPto
dance (n.),跳舞,The students are practicing street dance by synchronizing their moves.,同學們同時跳一樣的舞步來練習街舞。,"In dance class, the students are moving to the instructions of the teachers.",在舞蹈課，同學們隨著老師的指導擺動身體。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=HbT9OlOQnes
decorate (v.),布置,The students decorate the bulletin board for all students to see.,同學們布置布告欄讓所有人欣賞。,They tape certificates of recognition to decorate the classroom,他們將獎狀貼上去來布置教室。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=rwnOg4RORDo
dodgeball (n.),躲避球,The students try to hit the students with the dodgeball.,學生們用躲避球試著擊中學生。,The students line up to face each other for the dodgeball game.,學生們排隊面對面為了躲避球比賽。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=7T5Qj7Iqekk
newspaper (n.),報紙,"In class, students work together to make newspapers.",在班上，同學們一起製作報紙。,Students use paint brushes and pencils to create their newspapers.,同學們用水彩筆和鉛筆來製作自己的報紙。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=4dMPjAB0P98
pizza (n.),披薩,"Once the students are ready, they put their pizzas in the oven to cook.",當學生將披薩做好後，他們把它放入烤箱去烤。,"After they take the freshly-baked pizzas out of the oven, they cut each pie into slices.",把剛烤好的披薩拿出烤箱後，他們將每一片披薩切成好幾片。,彰化縣北斗鎮北斗國中,https://www.youtube.com/watch?v=Lgo3y6HhfK4
spell (v.),拼字,The students are spelling words using letter tiles.,同學們用字母方塊拼字。,This activity helps students practice their spelling.,這個活動幫助學生練習拼字。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=i-VOk5q8qU4
Chinese yo-yo (n.),扯鈴,The students are learning to use the Chinese yo-yo.,學生們正在學習使用扯鈴。,"If you think using the Chinese yo-yo is easy, it's not.",如果您認為使用扯鈴很容易，其實不然。,彰化縣花壇鄉花壇國中,https://www.youtube.com/watch?v=v72JAJoY-VQ
wind (n.),風,"In science class, students used a weather vane to check the direction of the wind.",在自然課，學生們用風向標檢查風的方向。,"After using the weather vane, the students wrote the direction of the wind in their workbook.",使用風向標後，學生們在他們的作業本上寫下風的方向。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=XFK1Oi9Y4q0
cultural exchange (n.),文化交流,The students gathered together for a cultural exchange activity at Hemei High School.,和美高中的學生聚集做文化交流的活動。,"During the cultural exchange, they took foreign visitors to a historical site.",在文化交流的活動中，他們帶著國外的來賓參觀歷史古蹟。,彰化縣和美鎮和美高中,https://www.youtube.com/watch?v=VxBBiCmPJZg
playground (n.),遊戲場,"The children are jumping, sliding, and climbing at the playground.",小朋友在遊樂場上跳躍、溜滑梯和爬上爬下。,The children are enjoying playing at the playground with their friends.,小朋友喜歡和朋友在遊樂場玩耍。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=JeihNdZT4eI
building blocks (n.),積木,The students are working together to construct a slide with building blocks.,同學們一起用積木建造一個滑梯。,The students are playing with their final construction made of building blocks.,學生們正在玩他們用積木建造的成品。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=NWxq9CZLqwg
ukulele (n.),烏克麗麗,The ukulele is a small musical instrument.,烏克麗麗是很小型的樂器。,All the students play their ukuleles together.,同學們一起彈烏克麗麗。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=LpYBCn4VwRM
shot put (n.),鉛球,The students are practicing shot put in the field.,同學在操場上練習推鉛球。,The students are taking turns doing shot put for track and field.,同學們輪流推鉛球為田徑賽做準備。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=OnMTkOJ72_I
music teacher (n.),音樂老師,The music teacher is teaching his students how to play a traditional Chinese instrument called the erhu.,這位音樂老師正在指導學生演奏一種名為「二胡」的傳統中國樂器。,Two foreign English teachers are also participating in the music teacher's class.,有兩位外國英文老師也在這堂音樂課當中學習。,彰化縣溪州鄉溪州國中,https://www.youtube.com/watch?v=_wtNtC1h9hE
promote (v.),推廣,"On April 23, World Book Day, a day to promote books and reading, is celebrated around the world. 4",月23日世界閱讀日是全世界推廣書本與閱讀的日子。,"On World Book Day, the school organizes an event at the school library to promote reading.",在世界閱讀日當天，學校在圖書館辦了一個活動來推廣閱讀。,彰化縣和美鎮和美高中,https://www.youtube.com/watch?v=x3C-LdeXHsQ
museum (n.),博物館,The school takes the students on an exciting and educational field trip to a museum.,學校帶領學生到一個博物館做戶外教學。,The museum has a variety of exhibits about Taiwanese history for visitors to enjoy.,這個博物館有很多關於台灣歷史的展覽讓遊客欣賞。,彰化縣和美鎮和美高中,https://www.youtube.com/watch?v=qVoJ2gaAhTk
choir (n.),合唱團,"These students are performing as a choir, meaning a group of vocalists that sing together.",這些學生正在表演，他們是合唱團成員，意思是一群歌手一起唱歌。,"In a choir some members have high voices and others have low voices, giving the group a very full sound when they all sing simultaneously.",合唱團當中，有些人唱高音，有些人低音，這樣同時唱的時候有個很完整的音域。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=Mq7HVHXxb-8
ballot (n.),選票,First the students go into the voting booth to fill out their ballots.,首先同學們到投票亭填寫選票。,"Once that's done, they vote by putting their ballots in the ballot box.",一旦完成，他們將選票投入票櫃來投票。,彰化縣竹塘鄉土庫國小,https://www.youtube.com/watch?v=_AFYRDP9Fgs
line (n.),排,"When the students arrive at school in the morning, they get in line and wait for their turn to practice English.",當學生早上到校時，他們排隊等待練習講英語。,"Once they get to the front of the line, the teacher asks them to read several phrases in English.",一旦學生到了隊伍的前面時，老師要求他們唸幾個英文片語。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=NUSeRzwWed8
drill (n.),訓練,The basketball players perform various drills to improve their skills.,籃球隊員做各種訓練來提昇他們的技巧。,The coach watches the players as they do ball-handling drills.,教練看著這些籃球員做控球的訓練。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=waXXXcJzt6Y
encourage (v.),鼓勵,The school encourages students to read more by taking them to the library to read each week.,學校每週帶學生到圖書館以鼓勵學生多閱讀。,The school also encourages them to read by giving awards to students that finish a lot of books.,學校也藉由頒獎給讀很多書的小朋友來鼓勵他們。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=w1-hee0hRLU
pencil sharpener (n.),削鉛筆機,A pencil sharpener is a tool for sharpening the tip of a pencil.,削鉛筆機是將筆尖削尖的工具。,"Some pencil sharpeners are electric, but the ones in this classroom are powered by hand.",有些削鉛筆機是電動的，但是這個教室內的是手動的。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=VVPj3e2AoDY
oar (n.),槳,An oar is a long pole that you can use to propel a boat through the water.,槳是一根長竿，用來讓船在水中前進。,These students are using oars to row their boats around a large indoor swimming pool.,這些學生用槳在大型室內游泳池划船。,彰化縣和美鎮和美高中,https://www.youtube.com/watch?v=NoSn_QAUdHU
starting line (n.),起跑線,The teacher asks several students to line up at the starting line.,老師要求一些學生在起跑線排隊。,"Once the teacher gives them the signal, they all take off running from the starting line.",當老師發號施令後，他們從起跑線開始向前跑。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=80Y8JtVzET0
rainy day  (n.),下雨天,"On rainy days, people use umbrellas to shield themselves from the rain.",下雨天時，人們用雨傘擋雨。,"When you leave your house on a rainy day, don't forget to bring your umbrella!",下雨天時，當你離家時，不要忘記帶雨傘。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=VuUo9WRNlkw
rocket stove (n.),火箭爐,The teacher is showing students how to start a fire in a rocket stove with wood and paper.,老師為學生示範如何用木柴和紙在火箭爐中生火。,"Once the students get their fires burning, they use small pans to cook popcorn on top of the rocket stoves.",一旦學生讓火開始燃燒，他們用小平底鍋在火箭爐上面煮爆米花。,彰化縣北斗鎮北斗國中,https://www.youtube.com/watch?v=nHSApZDL62o
air (n.),空氣,Balloons expand when you fill them with air.,當你幫氣球打氣時，氣球會變大。,"Once the balloons are filled with air, you can use them to make all sorts of interesting designs.",一旦氣球充滿空氣，你能做成不同有趣的造型。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=M3maX1Adkdg
flagpole (n.),旗桿,"There are four students next to the flagpole: one is holding the flag, one is holding the rope, and two are standing next to them.",旗桿旁邊有四個同學：一個拿著旗子，一個拿著繩子，兩個站在旁邊。,One student pulls on the rope to raise the flag up the flagpole.,一名學生拉著繩子將旗幟升到旗桿上。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=dKJ4F_XNKlI
train (n.),火車,The class goes to the train station to buy tickets for the train.,這個班級到火車站買車票搭火車。,"Once they have their tickets, they wait on the platform for the train to come.",一旦有車票，他們在月台等待火車到站。,彰化縣埔心鄉太平國小,https://www.youtube.com/watch?v=zu9PusUQL2o
quiet (adj.),安靜的,The quiet environment in the library is conducive to reading or studying.,圖書館安靜的環境有助於閱讀或讀書。,You should keep quiet in the library so you don't disturb the other visitors.,在圖書館應該要保持安靜，才不會打擾到其他的人。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=pXR22WU4G94
art exhibit (n.),藝術展,An art exhibit is a place where artwork is displayed for visitors to see.,藝術展是藝術作品展示給人欣賞的地方。,This art exhibit has many incredible sculptures on display.,這個藝術展有很多,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=wg0gs_l924s
return (v.),歸還,You should return your library books on time so others can borrow them.,你應該準時歸還圖書館的書，這樣其他人才能借閱。,"If you don't return your library books on time, you may have to pay a fine.",如果你沒有準時歸還圖書館的書，你可能會被罰錢。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=iIrPbg0Dhl0
garden tools (n.),園藝工具,"Garden tools, such as trowels, shovels, hoes, and picks, make gardening much easier.",園藝工具，如小鏟子、鏟子｜鋤頭和尖鋤，使園藝變得更為容易。,Some garden tools are designed for loosening soil and digging into it.,有些園藝工具設計來鬆土與挖土。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=pJSxg6CqwFk
broom (n.),掃把,A broom is a common cleaning tool often used in combination with a dustpan.,掃把是常見的清掃用具，經常跟畚斗一起使用。,"Brooms are used to sweep up dust and debris, leaving floors nice and clean.",掃把被用來掃灰塵或是垃圾，讓地板保持很乾淨。,彰化縣伸港鄉新港國小,https://www.youtube.com/watch?v=mbKf4mhppEc
luggage (n.),行李,The students use a cart to carry all their luggage at the airport.,同學們在機場用手推車推所有的行李。,They carry their luggage to the counter to get weighed.,他們將行李推到櫃台秤重。,彰化縣彰化市平和國小,https://www.youtube.com/watch?v=3tgCisvM5bQ
CPR (n.),心肺復甦術,The students learn how to perform CPR in health class.,學生們在健康課上學習如何施行心肺復甦術。,CPR can save someone's life in an emergency.,心肺復甦術在緊急情況下能救人一命。,彰化縣溪州鄉溪州國中,https://www.youtube.com/watch?v=PeDgndCapnA
Heimlich maneuver (n.),哈姆立克急救法,The students practice performing the Heimlich maneuver.,同學們練習做哈姆立克急救法。,The Heimlich maneuver is used to help someone choking.,哈姆立克急救法用來幫助噎到的人。,彰化縣溪州鄉溪州國中,https://www.youtube.com/watch?v=hhqX8vaGhwM
event (n.),活動事件,The school held a special event to celebrate Children’s Day.,學校舉辦了一場特別的活動來慶祝兒童節。,"At the event, performers sang, played instruments, and danced.",在活動中，表演者唱歌、演奏樂器和跳舞。,彰化縣福興鄉育新國小,https://www.youtube.com/watch?v=-j08CjF0ois
check in (v.),辦理登機手續,The Pinghe Elemantary School hockey team is checking in at the airport.,平和國小的曲棍球隊正在機場辦理登機手續。,"After they check in, they will fly to the United States to compete.",在他們辦完登機手續後，就要飛到美國去比賽了。,彰化縣彰化市平和國小,https://www.youtube.com/watch?v=hd8h8MH5CWU
climbing trees (v.),爬樹,The students use special equipment to climb trees.,學生們使用特殊設備爬樹。,The instructors teach students how to climb the tree safely.,指導員教學生如何安全地爬樹。,彰化縣和美鎮和美國小,https://www.youtube.com/watch?v=OXd3bFPto34
track (n.),徑賽；跑道,Track events usually involve running on a track that‘s shaped like an oval.,徑賽通常是在橢圓形跑道上的比賽項目。,"Some track events purely involve running, while others require athletes to jump over hurdles or pass batons between teammates.",有些徑賽只是純粹賽跑，然而有些則是需要運動員跳過障礙或者是將接力棒遞給隊友。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=839T14Sjp_I
pancake (n.),煎餅,In Lukang the locals make pancakes out of wheat flour and glutinous rice flour to celebrate the Dragon Boat Festival.,在鹿港，當地人用麵粉與糯米粉製作煎餅來慶祝端午節。,The students are also preparing these special pancakes to celebrate the festival.,學生們正在準備這種特別的煎餅來慶祝這個節慶。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=RvQ5fPEus4Q
ceremony (n.),典禮,Students line up in orderly rows during the flag raising ceremony.,同學們在升旗典禮時排成整齊的隊形。,"During this flag raising ceremony, some students are given awards.",在升旗期間，有些同學受獎。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=1FlEG7eJo-o
conversation (n.),對話,Each student has a conversation with the teacher in English.,學生用英語與老師進行對話。,Speaking a lot is the best way to improve your conversation skills.,多說是提升談話技巧的最好方法。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=2UsvFF_mfkA
online class (n.),線上課程,College students lead an online class for elementary students.,大學生帶領小學生上線上課程。,Students practice their bilingual skills in the online class.,同學們在線上課程練習雙語的技能。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=Eom8izk7CKw
CPR (n.),心肺復甦術,The students learn how to perform CPR.,同學們正在學習做CPR。,The students practice CPR for adults and infants.,同學練習為大人和嬰兒做CPR,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=2CVtxLi7d6c
audience (n.),觀眾,The two young storytellers present their story in front of an audience.,這兩位說書人在觀眾前講故事。,The audience is eager to participate in the activity!,這群觀眾參與活動的意願很高。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=9qheFWIXVDo
slice (n.),片,The students use knives to cut the cake into slices.,同學們用刀子將糕餅切成幾片。,Then they put the slices of cake onto plates to serve to their classmates.,然後他們將一片一片的糕餅放在盤子給同學吃。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=Ov-KaMMXHYw
clean up (v.),打掃,The students clean up the school daily.,學生們每天打掃學校。,"Cleaning up means picking up leaves, sweeping the floor and wiping the windows.",打掃衛生就是撿樹葉、掃地、擦窗戶。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=o9aVmOaVCpk
mow (v.),割,The man is mowing the grass.,這個人正在割草。,You need to mow the grass to keep it short.,你需要修剪草讓它不會太長。,彰化縣二林鎮廣興國小,https://www.youtube.com/watch?v=7uEJ63Ne2Fc
worksheet (n.),學習單,In class the students get ready for their storytelling event by filling out a worksheet.,在上課中，同學們填寫學習單為他們說故事的活動做準備。,The worksheet helps them organize information about their stories.,學習單可以幫助他們整理好故事的資訊。,彰化縣竹塘鄉土庫國小,https://www.youtube.com/watch?v=62SNSPN_hXA
piano (n.),鋼琴,These students have spent a lot of time and effort practicing the piano.,這些學生花了很多時間和精力練習鋼琴。,"Some perform solos, meaning they play alone, while others perform duets, which is when two pianists play the piano at the same time.",有些學生表演獨奏，這意味著單獨演奏，而另一些學生表演二重奏，即兩位鋼琴家同時彈奏鋼琴。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=zzWjD2Js1CQ
bounce (v.),彈起,"In this PE class, each student has to bounce a ball on the ground while he or she runs across the basketball court.",在這班的體育課，每個學生都邊拍球邊在籃球場上來回跑。,The kids have to use the right amount of strength when they bounce the balls so they can control them while they run.,小朋友要用適當的力道拍球以便能在跑步時還能控制球。,彰化縣二水鄉源泉國小,https://www.youtube.com/watch?v=5qu7fj0UCQA
accompany (v.),陪伴,"Parents, teachers, and staff members accompany the students on a walk through town.",父母、老師和職員陪同小朋友在他們的小鎮健行。,"If young students want to walk around outside, there should be an adult there to accompany them.",如果小朋友要在外面走路，應該要有大人的陪同。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=GcZmebHn9dc
intern (n.),實習生,The intern is teaching a class at Sijhou Junior High School.,這位實習老師正在溪州國中上課。,Someone learning a new skill or a new job is an intern.,學習新技能或者是新工作的人叫做實習生。,彰化縣溪州鄉溪州國中,https://www.youtube.com/watch?v=3KXYPTyW9bk
introduce (v.),介紹,The students introduce American teachers to Taiwanese food.,同學們為美國老師介紹台灣的食物。,"When friends visit from other countries, you can introduce them to the local food and culture.",當有外國朋友來訪時，你可以為他們介紹當地的食物與文化。,彰化縣溪州鄉溪州國中,https://www.youtube.com/watch?v=BxCz2vWqBTY
arts and crafts (n.),手工藝,Arts and crafts activities are wonderful for elementary school students.,手工藝對小學生是很棒的活動。,These students are using modelling clay and wood for this arts and crafts project.,這些學生用造型黏土和木頭來製作他們的手工藝作品。,彰化縣彰化市東芳國小,https://www.youtube.com/watch?v=YpLlRMi22CM
morning assembly (n.),朝會,"Morning assembly is a meeting that administrators, teachers, and students attend every morning at school.",朝會是行政人員、老師和學生每天早上要參加的聚會。,Morning assembly is a great time for staff and faculty members to share important announcements with the student body.,朝會是教職人員向學生宣布重要事情的好時機。,彰化縣福興鄉育新國小,https://www.youtube.com/watch?v=Vplnbc2-5h0
midterm exams (n.),期中考,"Midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",期中考是一個期中的考試，有可能學季制或是學期制。,Students spend a lot of time and effort preparing for their midterm exams.,同學們花很多時間與精力準備期中考。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=9Kat49fv5rQ
clean the floor (v.),擦地板,The boys are working together to clean the floor.,小男孩一起在擦地板。,"They use mops to clean the floor, removing dust and debris.",他們使用拖把擦地板，將灰塵與垃圾去除。,彰化縣福興鄉育新國小,https://www.youtube.com/watch?v=UOuC-5O9XbA
healthy lifestyle (n.),健康的生活方式,The teacher is teaching students how to maintain a healthy lifestyle.,老師正在教學生如何保持健康的生活方式。,"To maintain a healthy lifestyle, you should make sure to get enough sleep every night, exercise regularly, eat a healthy diet, and take care of your mental health.",要保持健康的生活方式，您應該確保每晚有充足的睡眠、經常運動、健康飲食以及照顧您的心理健康。,彰化縣福興鄉育新國小,https://www.youtube.com/watch?v=rZHdNYolCt4
nap (v.),小睡,The students are all napping after lunch while the teacher works.,學生們在午餐吃飽後午休，老師則是在工作。,Napping after lunch will give you the energy you need to study during the afternoon.,午休可以讓你下午上課有足夠的精力。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=7DNxSjcYnWg
balloon (n.),氣球,The parents and children are making balloon art together.,父母和小孩正一起製作氣球的藝術。,"They're making sheep, but you can use balloons to make all sorts of animals!",他們正在做綿羊，但是你可以用氣球創造各式各樣的動物造型。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=HqCCBXxxpW8
weed (v.),除草,The students are weeding outside of their school.,同學們在學校外除草。,They're using garden tools to help them weed.,他們使用園藝的工具來除草。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=Qb5nWWAM4Rw
stay active (v.),保持活躍,The kids are staying active by playing games and exercising outdoors.,小朋友藉由在戶外玩遊戲和運動來保持活躍。,Staying active is important for maintaining a healthy lifestyle.,保持活躍對維持健康的生活非常重要。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=_9K-POJXLy8
observe (v.),觀察,The class is observing insects.,這個班正在觀察昆蟲。,Observing insects can help the students learn about animals up close.,觀察昆蟲幫助學生近距離學習動物的相關知識。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=RWoOKVhD-1w
drone (n.),空拍機,This aerial footage was taken using a drone.,這段空拍素材是使用空拍機拍攝的。,Isn't it amazing how high the drone can fly?,空拍機能飛得很高這不是很神奇？,彰化縣北斗鎮螺青國小,https://www.youtube.com/watch?v=cP1p49Yx-RA
test paper (n.),試卷,Take one test paper and pass the rest back .,拿一張考卷，其餘往後傳。,"Students in the back, please stand up and collect the test papers from your line.",最後一排同學請站起來收你那排的考卷。,彰化縣北斗鎮北斗國中,https://www.youtube.com/watch?v=s0cbw9MrkMM
performance (n.),表演,The school held special performances in honor of Children’s Day.,學校舉辦特殊表演活動慶祝兒童節。,"In addition to a musical performance, the students told stories in Taiwanese.",除了音樂表演外，同學們用台語講故事。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=XK8PL8hKQ5A
video (n.),影片,The teachers are learning how to create educational videos.,這些老師正在學習如何製作教學影片。,"The teachers can use videos to teach students about math, science, and other subjects.",老師們可以用影片來指導學生數學、自然和其他的科目。,彰化縣竹塘鄉土庫國小,https://www.youtube.com/watch?v=uBDiT0tXjNg
take a nap (v.),午睡,"After lunch, students take a nap at school.",午餐後，學生睡午覺。,Some students read a book instead of taking a nap after lunch.,有些學生看書而不睡午覺。,彰化縣北斗鎮北斗國中,https://www.youtube.com/watch?v=wOrABQO4UPk
float (v.),漂浮,The students are using equipment that allows them to float in the water.,同學們使用可以讓他們在水中漂浮的設備。,They use equipment that helps them float so they can learn to swim safely.,他們用這種設備幫助他們漂浮以便能夠安全地學習游泳。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=w-HY8WsRfaQ
exercise (v.),運動,The kids are exercising by imitating animals.,小朋友模仿動物做運動。,Look at how much fun the kids are having while exercising!,小朋友運動時多麼開心啊！,彰化縣竹塘鄉土庫國小,https://www.youtube.com/watch?v=-1chVan8JDE
warm up (n.),暖身,The students do warm-ups to get ready to run,學生們做熱身準備跑步,Warm-ups loosen the muscles and reduce the chance of injuries.,熱身可以放鬆肌肉並減少受傷的機會。,彰化縣埤頭鄉芙朝國小,https://www.youtube.com/watch?v=apPMsycXI8s
morning assembly (n.),朝會,The teacher goes through the lost and found at the morning assembly.,老師在朝會期間讓同學失物招領。,The principal presents awards at the morning assembly.,校長在朝會期間頒獎。,彰化縣北斗鎮螺陽國小,https://www.youtube.com/watch?v=hjBW1h1MzCU
swimming class (n.),游泳課,The students are stretching for swimming class.,學生們正在為游泳課做伸展運動。,The students are practicing swimming in swimming class.,學生們正在游泳課上練習游泳。,彰化縣溪州鄉僑義國小,https://www.youtube.com/watch?v=PhW00f6Kl9Q
costume (n.),戲服,The performers are wearing animal costumes.,表演者穿著動物的戲服。,Costumes are an important part of many theatrical performances.,戲服在很多戲劇表演中扮演重要的角色。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=cNpk6FZP-Y8
race (n.),賽跑,The students and teachers are running a race.,老師和同學們參加賽跑活動。,"During the race, athletes can stop to get food and water.",在賽跑中，運動員可以停下來取食物和水。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=9uq73NzFTp8
nap (n.),小睡,The students take a nap in between classes.,同學們在課堂中間做午休。,The students take a nap to rest for the next class.,同學們利用午休時間休息，儲備下節課的精神。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=PnFEoleckyg
calligraphy (n.),書法,The students are quietly practicing Chinese calligraphy,同學們安靜地練習寫書法。,The calligraphy teacher is patiently instructing her students.,書法老師很有耐心地指導她的學生。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=iO3MwaZTDFw
flag ceremony (n.),升旗,The girls raise the flag during the flag ceremony.,小女孩在升旗典禮時將國旗升上去。,The students honor their flag during the flag ceremony.,在升旗典禮時，同學們向國旗致敬。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=9k4uwqcIfdo
coordinate (v.),協調,The students practice coordinating in their PE class.,同學們在體育課練習身體協調性。,The students have to coordinate their feet when moving.,同學們在雙腳移動時必須有協調性。,彰化縣北斗鎮螺陽國小,https://www.youtube.com/watch?v=sMCyOrR-PaU
culture (n.),文化,A teacher from Mongolia is teaching Taiwanese students about his culture.,一位來自蒙古的老師教導台灣學生蒙古的文化。,We can show our respect for other people by learning about their cultures.,我們能夠學習別人的文化來對他們表示尊敬。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=YthttsYwPJ4
test (n.),考試,The students are taking a test.,學生們正在考試。,Each student has to take the test independently and can’t get help from classmates.,每個學生都必須獨立參加考試，不能得到同學的幫助。,彰化縣鹿港鎮鹿鳴國中,https://www.youtube.com/watch?v=BP42vF0zkkY
independent reading (n.),獨立閱讀,Students do indepedent reading in the morning.,同學們在早上做獨立閱讀。,The teacher models independent reading.,老師示範獨立閱讀的方式。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=dLF_9ktox2o
weed (v.),除草,The students are weeding the plant box.,同學們在花圃除草。,Weeding makes the soil ready for planting.,除草可以將土壤整理好以準備種植植物。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=POtYgbRd8ro
safety (n.),安全,The school hosts a talk about water safety.,學校舉辦水上安全的會談。,The volunteers show how to use the water safety tools.,志工們示範如何使用水上安全所需要的器具。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=jo1pu2C46QQ
measure (v.),測量,The students are measuring the sesame plants' growth.,同學們在測量芝麻的成長。,"To measure the plants, the students need a ruler.",要測量植物，你需要一支尺。,彰化縣埤頭鄉芙朝國小,https://www.youtube.com/watch?v=TgmVfO979Eg
English passport (n.),英語護照,"If the students complete part of their English passport, they get a stamp.",如果學生完成英語護照部分的項目，他們可以蓋一個章。,The English passport is good practice for speaking English.,英語護照是練習講英語的一個好方式。,彰化縣埤頭鄉芙朝國小,https://www.youtube.com/watch?v=aKuNQgsDbTw
